ngay,cap_nhat_utc,gia_the_gioi_usd_oz,ty_gia_usdvnd,quy_doi_vnd_luong,sjc_mua,sjc_ban,nhan_mua,nhan_ban,premium_sjc_pct,premium_nhan_pct
2026-07-08,2026-07-08 11:10,4061.8,26289.0,128740105.0,,,,,,
2026-07-09,2026-07-09 12:03,4117.2,26294.0,130520850.0,,,,,,
2026-07-10,2026-07-10 12:20,4112.6,26290.0,130355187.0,,,,,,
2026-07-11,2026-07-11 03:23,4128.9,26260.0,130722494.0,,,,,,
2026-07-12,2026-07-12 12:54,4113.7,26260.0,130241266.0,,,,,,
2026-07-13,2026-07-13 12:05,4064.9,26260.0,128696231.0,,,,,,
2026-07-14,2026-07-14 10:50,4025.6,26252.0,127413157.0,,,,,,
2026-07-15,2026-07-15 10:54,4037.3,26250.0,127773734.0,,,,,,
2026-07-16,2026-07-16 11:43,4033.8,26253.0,127677555.0,,,,,,
2026-07-17,2026-07-17 11:53,3995.8,26250.0,126460329.0,,,,,,
2026-07-19,2026-07-19 14:01,4018.8,26292.0,127391741.0,,,,,,
2026-07-20,2026-07-20 13:22,4014.4,26292.0,127252261.0,,,,,,
2026-07-21,2026-07-21 12:30,4063.0,26290.0,128783036.0,,,,,,
2026-07-22,2026-07-22 12:40,4137.1,26310.0,131231510.0,,,,,,
2026-07-23,2026-07-23 11:30,4088.3,26312.0,129693399.0,,,,,,
2026-07-24,2026-07-24 11:12,4063.0,26314.0,128900601.0,,,,,,
